Graph Info:	Number of Vertices	3003
		Exact LCA
	Separator Size	Balance Ratio	Runtime (ms)
397	607	1.76417	67.91
398	607	1.76628	64.17
399	603	1.76534	46.11
400	603	1.76746	55.08
401	605	1.76475	52.98
402	599	1.76864	47.84
403	601	1.76592	47.74
404	601	1.76805	46.81
405	597	1.76710	54.39
406	597	1.76923	51.01
407	599	1.76651	47.83
408	593	1.77042	44.71
409	595	1.76769	42.05
410	595	1.76982	41.94
411	591	1.76888	46.21
412	591	1.77101	44.72
413	593	1.76828	40.86
414	587	1.77220	57.96
415	589	1.76947	67.33
416	589	1.77160	49.21
417	585	1.77066	42.74
418	585	1.77280	42.71
419	587	1.77006	52.57
420	581	1.77399	50.20
421	583	1.77125	59.21
422	583	1.77340	44.06
423	579	1.77245	40.99
424	579	1.77459	42.18
425	581	1.77185	50.57
426	575	1.77580	49.20
427	577	1.77304	43.82
428	577	1.77519	44.46
429	573	1.77424	44.03
430	573	1.77640	46.13
431	575	1.77364	47.41
432	569	1.77760	45.25
433	571	1.77484	40.33
434	571	1.77700	41.89
435	567	1.77605	45.68
436	567	1.77821	49.86
437	569	1.77545	48.06
438	563	1.77942	46.00
439	565	1.77665	46.57
440	565	1.77882	55.19
441	561	1.77786	72.15
442	561	1.78003	62.07
443	563	1.77726	67.29
444	557	1.78125	149.25
445	559	1.77847	56.21
446	559	1.78064	48.02
447	555	1.77969	55.54
448	555	1.78186	44.09
449	557	1.77908	44.40
450	551	1.78309	53.44
451	553	1.78030	51.66
452	553	1.78247	65.18
453	549	1.78152	52.39
454	549	1.78370	49.30
455	551	1.78091	52.32
456	545	1.78493	51.01
457	547	1.78213	48.15
458	547	1.78431	52.01
459	543	1.78336	73.85
460	543	1.78555	67.81
461	545	1.78275	58.68
462	539	1.78678	81.72
463	541	1.78397	50.70
464	541	1.78616	48.37
465	537	1.78521	46.06
466	537	1.78740	49.71
467	539	1.78459	45.22
468	533	1.78864	44.51
469	535	1.78583	40.03
470	535	1.78802	46.57
471	531	1.78707	46.48
472	531	1.78927	44.04
473	533	1.78645	39.82
474	527	1.79051	40.15
475	529	1.78769	43.03
476	529	1.78989	47.94
477	525	1.78893	45.77
478	525	1.79114	42.62
479	527	1.78831	37.06
480	521	1.79239	44.00
481	523	1.78956	43.62
482	523	1.79177	44.64
483	519	1.79081	42.83
484	519	1.79302	44.15
485	521	1.79018	43.45
486	515	1.79428	49.55
487	517	1.79144	52.61
488	517	1.79365	63.41
489	513	1.79269	38.87
490	513	1.79491	44.25
491	515	1.79206	43.80
492	509	1.79618	42.15
493	511	1.79332	44.54
494	511	1.79554	52.05
495	507	1.79459	56.85
496	507	1.79681	45.00
497	509	1.79395	43.73
498	503	1.79808	38.48
499	505	1.79522	44.82
500	505	1.79745	52.02
501	501	1.79649	45.61
502	501	1.79872	39.28
503	503	1.79585	43.46
504	497	1.80000	67.60
505	499	1.79712	58.19
506	499	1.79936	46.39
507	495	1.79840	40.40
508	495	1.80064	41.58
509	497	1.79776	43.23
510	491	1.80192	45.29
511	493	1.79904	43.18
512	493	1.80128	41.18
513	489	1.80032	38.00
514	489	1.80257	40.86
515	491	1.79968	41.77
516	485	1.80386	43.71
517	487	1.80096	40.01
518	487	1.80321	38.97
519	483	1.80225	57.17
520	483	1.80451	52.21
521	485	1.80161	43.03
522	479	1.80580	38.50
523	481	1.80290	40.49
524	481	1.80515	45.75
525	477	1.80419	45.41
526	477	1.80645	46.78
527	479	1.80354	42.44
528	473	1.80775	41.35
529	475	1.80484	40.26
530	475	1.80710	43.31
531	471	1.80614	42.75
532	471	1.80841	41.29
533	473	1.80549	40.86
534	467	1.80972	41.38
535	469	1.80679	45.87
536	469	1.80906	43.27
537	465	1.80810	42.40
538	465	1.81037	41.25
539	467	1.80744	41.12
540	461	1.81169	42.69
541	463	1.80875	49.77
542	463	1.81103	43.33
543	459	1.81006	33.92
544	459	1.81235	41.50
545	461	1.80941	45.78
546	455	1.81367	42.49
547	457	1.81072	38.27
548	457	1.81301	67.02
549	453	1.81204	116.39
550	453	1.81433	44.94
551	455	1.81138	41.65
552	449	1.81566	50.68
553	451	1.81270	50.85
554	451	1.81500	44.87
555	447	1.81403	42.03
556	447	1.81633	41.16
557	449	1.81337	46.72
558	443	1.81766	45.44
559	445	1.81469	45.00
560	445	1.81699	42.08
561	441	1.81603	35.68
562	441	1.81833	44.52
563	443	1.81536	40.54
564	437	1.81967	42.78
565	439	1.81669	38.48
566	439	1.81900	43.54
567	435	1.81803	38.18
568	435	1.82034	43.35
569	437	1.81736	41.59
570	431	1.82169	37.63
571	433	1.81870	37.37
572	433	1.82102	35.72
573	429	1.82005	43.89
574	429	1.82237	42.98
575	431	1.81938	41.85
576	425	1.82372	38.88
577	427	1.82072	37.55
578	427	1.82305	40.45
579	423	1.82208	41.35
580	423	1.82440	43.04
581	425	1.82140	40.27
582	419	1.82576	36.89
583	421	1.82275	36.63
584	421	1.82508	45.37
585	417	1.82411	39.79
586	417	1.82645	38.12
587	419	1.82343	37.78
588	413	1.82781	37.88
589	415	1.82479	34.06
590	415	1.82713	39.38
591	411	1.82616	38.46
592	411	1.82850	40.17
593	413	1.82548	36.49
594	407	1.82988	37.43
595	409	1.82684	44.82
596	409	1.82919	53.97
597	405	1.82822	53.61
598	405	1.83056	45.70
599	407	1.82753	49.86
600	401	1.83195	59.18
601	403	1.82890	60.20
602	403	1.83126	48.19
603	399	1.83028	39.07
604	399	1.83264	49.53
605	401	1.82959	47.36
606	395	1.83403	40.05
607	397	1.83097	40.31
608	397	1.83333	48.79
609	393	1.83236	45.91
610	393	1.83472	42.48
611	395	1.83167	37.77
612	389	1.83612	37.90
613	391	1.83306	37.06
614	391	1.83542	42.63
615	387	1.83445	41.62
616	387	1.83682	38.47
617	389	1.83375	36.57
618	383	1.83822	47.11
619	385	1.83515	52.59
620	385	1.83752	38.75
621	381	1.83655	36.70
622	381	1.83893	33.62
623	383	1.83585	35.35
624	377	1.84034	37.12
625	379	1.83725	45.36
626	379	1.83963	36.81
627	375	1.83866	37.33
628	375	1.84104	36.48
629	377	1.83795	38.34
630	371	1.84246	40.77
631	373	1.83936	41.88
632	373	1.84175	39.94
633	369	1.84078	35.70
634	369	1.84317	34.91
635	371	1.84007	37.95
636	365	1.84459	38.97
637	367	1.84148	40.16
638	367	1.84388	39.54
639	363	1.84291	35.10
640	363	1.84531	34.60
641	365	1.84219	36.20
642	359	1.84674	36.41
643	361	1.84362	38.01
644	361	1.84602	37.47
645	357	1.84505	37.76
646	357	1.84746	38.28
647	359	1.84433	35.16
648	353	1.84890	39.25
649	355	1.84576	42.12
650	355	1.84818	51.60
651	351	1.84720	40.48
652	351	1.84962	62.81
653	353	1.84648	45.81
654	347	1.85106	44.57
655	349	1.84792	42.87
656	349	1.85034	43.87
657	345	1.84936	46.74
658	345	1.85179	66.56
659	347	1.84864	45.86
660	341	1.85324	42.22
661	343	1.85009	48.39
662	343	1.85251	84.78
663	339	1.85154	47.93
664	339	1.85397	43.64
665	341	1.85081	40.63
666	335	1.85543	40.90
667	337	1.85226	39.60
668	337	1.85470	35.86
669	333	1.85372	34.63
670	333	1.85616	35.79
671	335	1.85299	60.33
672	329	1.85763	55.20
673	331	1.85445	50.76
674	331	1.85690	33.51
675	327	1.85592	38.64
676	327	1.85837	57.98
677	329	1.85518	46.20
678	323	1.85985	38.31
679	325	1.85665	36.77
680	325	1.85911	34.34
681	321	1.85813	33.23
682	321	1.86059	39.79
683	323	1.85739	50.31
684	317	1.86207	44.39
685	319	1.85886	35.30
686	319	1.86133	36.72
687	315	1.86034	34.60
688	315	1.86281	45.99
689	317	1.85960	37.92
690	311	1.86430	39.54
691	313	1.86109	33.54
692	313	1.86356	34.08
693	309	1.86258	35.82
694	309	1.86505	39.20
695	311	1.86183	38.96
696	305	1.86655	38.69
697	307	1.86332	35.39
698	307	1.86580	33.99
699	303	1.86482	36.01
700	303	1.86730	54.77
701	305	1.86407	42.03
702	299	1.86881	34.72
703	301	1.86557	32.21
704	301	1.86806	31.47
705	297	1.86707	35.95
706	297	1.86957	36.65
707	299	1.86632	38.01
708	293	1.87108	32.67
709	295	1.86783	34.12
710	295	1.87032	33.08
711	291	1.86934	33.60
712	291	1.87184	34.25
713	293	1.86858	34.46
714	287	1.87336	33.61
715	289	1.87010	30.61
716	289	1.87260	30.84
717	285	1.87162	33.71
718	285	1.87413	40.55
719	287	1.87086	43.77
720	281	1.87566	80.37
721	283	1.87238	40.58
722	283	1.87489	51.30
723	279	1.87391	96.17
724	279	1.87642	46.14
725	281	1.87314	40.22
726	275	1.87796	42.30
727	277	1.87467	39.12
728	277	1.87719	57.25
729	273	1.87621	42.16
730	273	1.87873	32.04
731	275	1.87544	32.07
732	269	1.88028	39.17
733	271	1.87698	34.65
734	271	1.87951	63.41
735	267	1.87852	77.72
736	267	1.88106	48.32
737	269	1.87775	50.55
738	263	1.88261	41.50
739	265	1.87930	56.39
740	265	1.88183	65.90
741	261	1.88085	57.77
742	261	1.88339	45.96
743	263	1.88007	41.04
744	257	1.88496	77.80
745	259	1.88163	47.85
746	259	1.88417	34.66
747	255	1.88319	41.57
748	255	1.88574	135.51
749	257	1.88240	50.07
750	251	1.88731	99.04
751	253	1.88397	61.45
752	253	1.88652	49.40
753	249	1.88554	47.46
754	249	1.88810	51.57
755	251	1.88475	50.32
756	245	1.88968	56.25
757	247	1.88632	49.19
758	247	1.88889	106.62
759	243	1.88790	64.38
760	243	1.89047	70.78
761	245	1.88711	72.37
762	239	1.89206	178.75
763	241	1.88869	54.59
764	241	1.89127	55.95
765	237	1.89028	54.18
766	237	1.89286	47.77
767	239	1.88948	41.26
768	233	1.89445	53.56
769	235	1.89107	46.85
770	235	1.89366	32.52
771	231	1.89267	32.06
772	231	1.89526	33.61
773	233	1.89187	57.09
774	227	1.89686	52.54
775	229	1.89346	35.59
776	229	1.89606	31.90
777	225	1.89507	32.12
778	225	1.89767	59.39
779	227	1.89427	77.28
780	221	1.89928	37.95
781	223	1.89587	31.70
782	223	1.89847	29.06
783	219	1.89748	31.02
784	219	1.90009	35.18
785	221	1.89668	45.77
786	215	1.90171	52.45
787	217	1.89829	40.60
788	217	1.90090	39.35
789	213	1.89991	37.81
790	213	1.90253	50.03
791	215	1.89910	36.23
792	209	1.90416	31.06
793	211	1.90072	33.72
794	211	1.90334	40.49
795	207	1.90235	35.68
796	207	1.90498	37.16
797	209	1.90154	36.70
798	203	1.90662	30.34
799	205	1.90317	31.89
800	205	1.90580	34.22
801	201	1.90481	32.65
802	201	1.90744	34.01
803	203	1.90399	33.23
804	197	1.90909	27.59
805	199	1.90563	30.39
806	199	1.90827	29.05
807	195	1.90727	32.32
808	195	1.90992	33.59
809	197	1.90645	31.08
810	191	1.91158	30.89
811	193	1.90810	29.51
812	193	1.91075	27.24
813	189	1.90975	27.49
814	189	1.91241	29.54
815	191	1.90893	29.39
816	185	1.91408	33.66
817	187	1.91058	31.47
818	187	1.91324	31.19
819	183	1.91225	28.90
820	183	1.91491	29.94
821	185	1.91142	35.11
822	179	1.91659	30.54
823	181	1.91308	30.06
824	181	1.91575	30.43
825	177	1.91476	29.51
826	177	1.91743	30.09
827	179	1.91392	30.35
828	173	1.91912	34.24
829	175	1.91560	33.11
830	175	1.91827	31.27
831	171	1.91728	33.75
832	171	1.91996	28.41
833	173	1.91644	28.59
834	167	1.92166	29.52
835	169	1.91812	27.99
836	169	1.92081	32.75
837	165	1.91982	28.44
838	165	1.92251	31.54
839	167	1.91897	26.69
840	161	1.92421	29.22
841	163	1.92066	26.05
842	163	1.92336	26.27
843	159	1.92237	33.00
844	159	1.92507	29.97
845	161	1.92151	31.14
846	155	1.92678	29.39
847	157	1.92322	26.75
848	157	1.92593	26.37
849	153	1.92493	28.72
850	153	1.92764	33.32
851	155	1.92407	32.38
852	149	1.92937	30.00
853	151	1.92579	29.58
854	151	1.92851	26.70
855	147	1.92751	27.65
856	147	1.93023	30.05
857	149	1.92665	28.65
858	143	1.93197	30.96
859	145	1.92837	30.18
860	145	1.93110	28.23
861	141	1.93010	27.35
862	141	1.93284	29.12
863	143	1.92924	26.94
864	137	1.93458	33.70
865	139	1.93097	28.33
866	139	1.93371	31.16
867	135	1.93271	27.60
868	135	1.93545	28.55
869	137	1.93184	28.00
870	131	1.93721	27.62
871	133	1.93358	33.52
872	133	1.93633	30.14
873	129	1.93533	29.89
874	129	1.93809	28.47
875	131	1.93446	27.15
876	125	1.93985	27.34
877	127	1.93621	27.31
878	127	1.93897	30.92
879	123	1.93797	29.94
880	123	1.94073	29.84
881	125	1.93709	28.86
882	119	1.94251	27.25
883	121	1.93885	25.54
884	121	1.94162	28.83
885	117	1.94062	31.90
886	117	1.94340	27.69
887	119	1.93974	29.58
888	113	1.94518	27.51
889	115	1.94151	26.92
890	115	1.94429	24.55
891	111	1.94329	28.75
892	111	1.94607	28.51
893	113	1.94240	29.34
894	107	1.94787	29.36
895	109	1.94418	28.58
896	109	1.94697	25.85
897	105	1.94597	27.11
898	105	1.94877	25.16
899	107	1.94508	27.41
900	101	1.95057	30.49
901	103	1.94687	27.47
902	103	1.94967	31.75
903	99	1.94867	28.04
904	99	1.95147	29.12
905	101	1.94777	27.97
906	95	1.95329	27.41
907	97	1.94957	25.23
908	97	1.95238	27.74
909	93	1.95138	29.48
910	93	1.95420	27.35
911	95	1.95048	28.64
912	89	1.95602	25.88
913	91	1.95229	27.63
914	91	1.95511	24.68
915	87	1.95411	24.11
916	87	1.95694	26.58
917	89	1.95320	28.55
918	83	1.95877	28.12
919	85	1.95502	26.89
920	85	1.95785	28.87
921	81	1.95686	24.72
922	81	1.95969	25.46
923	83	1.95594	25.60
924	77	1.96154	26.09
925	79	1.95777	27.97
926	79	1.96061	29.43
927	75	1.95962	27.09
928	75	1.96246	26.48
929	77	1.95869	26.30
930	71	1.96432	26.03
931	73	1.96054	26.38
932	73	1.96339	31.91
933	69	1.96239	29.15
934	69	1.96525	28.42
935	71	1.96146	26.82
936	65	1.96712	25.92
937	67	1.96332	26.29
938	67	1.96618	25.31
939	63	1.96518	26.44
940	63	1.96805	26.06
941	65	1.96425	27.74
942	59	1.96993	27.44
943	61	1.96612	27.10
944	61	1.96899	25.01
945	57	1.96799	25.39
946	57	1.97087	24.63
947	59	1.96705	25.11
948	53	1.97276	24.11
949	55	1.96893	26.53
950	55	1.97182	27.02
951	51	1.97082	25.15
952	51	1.97371	25.70
953	53	1.96987	23.24
954	47	1.97561	22.90
955	49	1.97176	22.45
956	49	1.97466	22.79
957	45	1.97366	25.94
958	45	1.97656	28.30
959	47	1.97271	26.91
960	41	1.97847	25.27
961	43	1.97461	28.18
962	43	1.97752	24.82
963	39	1.97652	24.68
964	39	1.97943	22.39
965	41	1.97556	26.55
966	35	1.98135	25.96
967	37	1.97747	25.30
968	37	1.98039	25.51
969	33	1.97939	24.35
970	33	1.98232	22.09
971	35	1.97843	22.00
972	29	1.98425	23.45
973	31	1.98035	22.06
974	31	1.98328	24.55
975	27	1.98228	24.35
976	27	1.98522	24.47
977	29	1.98132	25.90
978	23	1.98717	27.14
979	25	1.98325	22.88
980	25	1.98619	22.17
981	21	1.98519	22.59
982	21	1.98814	23.98
983	23	1.98422	24.04
984	17	1.99010	25.06
985	19	1.98617	24.47
986	19	1.98912	25.07
987	15	1.98812	30.64
988	15	1.99108	22.04
989	17	1.98714	22.51
990	11	1.99305	21.51
991	13	1.98910	23.34
992	13	1.99206	26.69
993	9	1.99106	25.29
994	9	1.99404	25.39
995	11	1.99008	24.79
996	5	1.99602	23.67
997	7	1.99205	21.30
998	7	1.99502	25.57
999	3	1.99402	24.00
1000	3	1.99701	25.22
1001	5	1.99303	26.79
1002	3	1.98510	23.86
1003	3	1.98807	23.94
1004	3	1.99104	27.14
1005	3	1.97624	24.16
1006	3	1.97919	23.18
1007	3	1.98214	22.47
1008	3	1.96742	22.50
1009	3	1.97036	24.13
1010	3	1.97329	24.58
1011	3	1.95866	25.97
1012	3	1.96158	25.85
1013	3	1.96450	24.66
1014	3	1.94995	20.74
1015	3	1.95285	21.20
1016	3	1.95575	24.16
1017	3	1.94129	28.99
1018	3	1.94417	25.11
1019	3	1.94706	30.74
1020	3	1.93268	35.06
1021	3	1.93555	33.51
1022	3	1.93842	27.76
1023	3	1.92412	27.73
1024	3	1.92697	30.63
1025	3	1.92982	27.74
1026	3	1.91562	27.86
1027	3	1.91845	39.18
1028	3	1.92128	41.28
1029	3	1.90716	33.49
1030	3	1.90997	39.38
1031	3	1.91279	35.79
1032	3	1.89875	45.84
1033	3	1.90154	39.97
1034	3	1.90435	33.27
1035	3	1.89038	42.42
1036	3	1.89317	44.24
1037	3	1.89595	38.28
1038	3	1.88207	52.81
1039	3	1.88484	51.32
1040	3	1.88761	39.52
1041	3	1.87380	42.53
1042	3	1.87656	54.58
1043	3	1.87931	75.72
1044	3	1.86559	34.97
1045	3	1.86832	39.36
1046	3	1.87106	41.13
1047	3	1.85741	59.46
1048	3	1.86013	64.13
1049	3	1.86286	52.20
1050	3	1.84929	26.70
1051	3	1.85199	24.19
1052	3	1.85470	41.83
1053	3	1.84121	41.11
1054	3	1.84390	32.74
1055	3	1.84659	34.78
1056	3	1.83318	79.15
1057	3	1.83585	67.74
1058	3	1.83853	59.52
1059	3	1.82519	65.24
