Graph Info:	Number of Vertices	3003
		Exact LCA
	Separator Size	Balance Ratio	Runtime (ms)
2056	3	1.00133	9.75
2057	3	1.00133	11.66
2058	3	1.00000	13.88
2059	3	1.00133	12.45
2060	3	1.00133	12.82
2061	3	1.00000	13.17
2062	3	1.00133	12.97
2063	3	1.00133	14.47
2064	3	1.00000	21.96
2065	3	1.00133	14.97
2066	3	1.00133	15.60
2067	3	1.00000	16.11
2068	3	1.00133	19.16
2069	3	1.00133	25.66
2070	3	1.00000	17.91
2071	3	1.00133	21.28
2072	3	1.00133	20.86
2073	3	1.00000	21.23
2074	3	1.00133	15.53
2075	3	1.00133	16.94
2076	3	1.00000	23.48
2077	3	1.00133	33.57
2078	3	1.00133	22.54
2079	3	1.00000	20.28
2080	3	1.00133	15.41
2081	3	1.00133	20.13
2082	3	1.00000	19.68
2083	3	1.00133	19.78
2084	3	1.00133	20.36
2085	3	1.00000	21.04
2086	3	1.00133	19.01
2087	3	1.00133	25.04
2088	3	1.00000	29.92
2089	3	1.00133	27.13
2090	3	1.00133	17.85
2091	3	1.00000	13.98
2092	3	1.00133	19.13
2093	3	1.00133	52.84
2094	3	1.00000	27.89
2095	3	1.00133	22.55
2096	3	1.00133	23.22
2097	3	1.00000	25.89
2098	3	1.00133	57.29
2099	3	1.00133	22.21
2100	3	1.00000	23.96
2101	3	1.00133	22.81
2102	3	1.00133	24.06
2103	3	1.00000	21.09
2104	3	1.00133	19.84
2105	3	1.00133	15.43
2106	3	1.00000	16.82
2107	3	1.00133	25.00
2108	3	1.00133	18.95
2109	3	1.00000	23.93
2110	3	1.00133	24.02
2111	3	1.00133	24.40
2112	3	1.00000	24.41
2113	3	1.00133	24.50
2114	3	1.00133	25.36
2115	3	1.00000	20.10
2116	3	1.00133	20.56
2117	3	1.00133	24.68
2118	3	1.00000	29.81
2119	3	1.00133	16.71
2120	3	1.00133	21.79
2121	3	1.00000	23.44
2122	3	1.00133	24.44
2123	3	1.00133	17.73
2124	3	1.00000	20.84
2125	3	1.00133	18.00
2126	3	1.00133	14.24
2127	3	1.00000	16.83
2128	3	1.00133	16.92
2129	3	1.00133	13.69
2130	3	1.00000	16.45
2131	3	1.00133	18.05
2132	3	1.00133	15.00
2133	3	1.00000	16.55
2134	3	1.00133	18.16
2135	3	1.00133	15.16
2136	3	1.00000	15.52
2137	3	1.00133	17.04
2138	3	1.00133	16.12
2139	3	1.00000	19.29
2140	3	1.00133	21.45
2141	3	1.00133	17.55
2142	3	1.00000	30.95
2143	3	1.00133	26.66
2144	3	1.00133	25.89
2145	3	1.00000	35.89
2146	3	1.00133	17.96
2147	3	1.00133	21.07
2148	3	1.00000	16.82
2149	3	1.00133	15.60
2150	3	1.00133	14.07
2151	3	1.00000	15.49
2152	3	1.00133	11.18
2153	3	1.00133	10.48
2154	3	1.00000	14.62
2155	3	1.00133	14.06
2156	3	1.00133	12.88
2157	3	1.00000	15.77
2158	3	1.00133	20.38
2159	3	1.00133	14.79
2160	3	1.00000	15.02
2161	3	1.00133	14.79
2162	3	1.00133	11.19
2163	3	1.00000	10.65
2164	3	1.00133	16.36
2165	3	1.00133	13.11
2166	3	1.00000	11.02
2167	3	1.00133	10.11
2168	3	1.00133	11.65
2169	3	1.00000	13.41
2170	3	1.00133	10.66
2171	3	1.00133	10.20
2172	3	1.00000	10.25
2173	3	1.00133	15.77
2174	3	1.00133	13.35
2175	3	1.00000	11.87
2176	3	1.00133	14.01
2177	3	1.00133	13.85
2178	3	1.00000	17.09
2179	3	1.00133	11.79
2180	3	1.00133	20.00
2181	3	1.00000	15.39
2182	3	1.00133	13.40
2183	3	1.00133	18.38
2184	3	1.00000	15.36
2185	3	1.00133	16.42
2186	3	1.00133	20.14
2187	3	1.00000	14.16
2188	3	1.00133	13.23
2189	3	1.00133	21.05
2190	3	1.00000	15.27
2191	3	1.00133	15.10
2192	3	1.00133	19.62
2193	3	1.00000	16.42
2194	3	1.00133	15.23
2195	3	1.00133	16.25
2196	3	1.00000	16.67
2197	3	1.00133	10.89
2198	3	1.00133	14.81
2199	3	1.00000	13.00
2200	3	1.00133	11.31
2201	3	1.00133	11.48
2202	3	1.00000	13.97
2203	3	1.00133	12.64
2204	3	1.00133	12.37
2205	3	1.00000	13.66
2206	3	1.00133	16.86
2207	3	1.00133	20.76
2208	3	1.00000	23.87
2209	3	1.00133	15.52
2210	3	1.00133	11.07
2211	3	1.00000	14.45
2212	3	1.00133	17.21
2213	3	1.00133	10.67
2214	3	1.00000	13.91
2215	3	1.00133	21.42
2216	3	1.00133	14.18
2217	3	1.00000	16.24
2218	3	1.00133	27.84
2219	3	1.00133	14.04
2220	3	1.00000	15.49
2221	3	1.00133	18.28
2222	3	1.00133	16.48
2223	3	1.00000	21.52
2224	3	1.00133	12.46
2225	3	1.00133	12.31
2226	3	1.00000	13.05
2227	3	1.00133	15.62
2228	3	1.00133	12.89
2229	3	1.00000	11.77
2230	3	1.00133	18.33
2231	3	1.00133	12.09
2232	3	1.00000	11.50
2233	3	1.00133	10.47
2234	3	1.00133	20.30
2235	3	1.00000	11.90
2236	3	1.00133	10.55
2237	3	1.00133	14.67
2238	3	1.00000	15.70
2239	3	1.00133	11.62
2240	3	1.00133	10.61
2241	3	1.00000	14.32
2242	3	1.00133	13.14
2243	3	1.00133	13.06
2244	3	1.00000	10.63
2245	3	1.00133	14.15
2246	3	1.00133	13.10
2247	3	1.00000	13.44
2248	3	1.00133	11.80
2249	3	1.00133	16.03
2250	3	1.00000	10.75
2251	3	1.00133	10.97
2252	3	1.00133	11.48
2253	3	1.00000	15.46
2254	3	1.00133	11.73
2255	3	1.00133	10.82
2256	3	1.00000	12.11
2257	3	1.00133	17.15
2258	3	1.00133	13.30
2259	3	1.00000	16.05
2260	3	1.00133	20.63
2261	3	1.00133	13.21
2262	3	1.00000	14.17
2263	3	1.00133	18.39
2264	3	1.00133	12.17
2265	3	1.00000	13.62
2266	3	1.00133	14.54
2267	3	1.00133	15.54
2268	3	1.00000	12.87
2269	3	1.00133	12.08
2270	3	1.00133	17.65
2271	3	1.00000	12.53
2272	3	1.00133	12.25
2273	3	1.00133	12.16
2274	3	1.00000	15.66
2275	3	1.00133	14.40
2276	3	1.00133	12.20
2277	3	1.00000	11.29
2278	3	1.00133	11.63
2279	3	1.00133	10.98
2280	3	1.00000	12.46
2281	3	1.00133	11.28
2282	3	1.00133	13.19
2283	3	1.00000	11.98
2284	3	1.00133	10.90
2285	3	1.00133	13.15
2286	3	1.00000	12.41
2287	3	1.00133	11.92
2288	3	1.00133	11.58
2289	3	1.00000	12.39
2290	3	1.00133	15.24
2291	3	1.00133	12.43
2292	3	1.00000	10.99
2293	3	1.00133	15.18
2294	3	1.00133	16.06
2295	3	1.00000	13.85
2296	3	1.00133	13.27
2297	3	1.00133	18.68
2298	3	1.00000	12.89
2299	3	1.00133	13.41
2300	3	1.00133	18.78
2301	3	1.00000	13.49
2302	3	1.00133	11.75
2303	3	1.00133	12.22
2304	3	1.00000	16.15
2305	3	1.00133	12.23
2306	3	1.00133	11.10
2307	3	1.00000	12.03
2308	3	1.00133	11.13
2309	3	1.00133	13.96
2310	3	1.00000	16.04
2311	3	1.00133	13.51
2312	3	1.00133	12.55
2313	3	1.00000	12.88
2314	3	1.00133	14.12
2315	3	1.00133	11.82
2316	3	1.00000	11.31
2317	3	1.00133	13.43
2318	3	1.00133	12.39
2319	3	1.00000	11.07
2320	3	1.00133	11.76
2321	3	1.00133	13.66
2322	3	1.00000	11.44
2323	3	1.00133	11.78
2324	3	1.00133	13.00
2325	3	1.00000	11.70
2326	3	1.00133	11.57
2327	3	1.00133	15.52
2328	3	1.00000	19.39
2329	3	1.00133	16.10
2330	3	1.00133	16.22
2331	3	1.00000	14.21
2332	3	1.00133	12.79
2333	3	1.00133	11.97
2334	3	1.00000	11.50
2335	3	1.00133	11.49
2336	3	1.00133	13.65
2337	3	1.00000	14.64
2338	3	1.00133	16.41
2339	3	1.00133	17.08
2340	3	1.00000	16.02
2341	3	1.00133	12.42
2342	3	1.00133	11.93
2343	3	1.00000	11.90
2344	3	1.00133	15.52
2345	3	1.00133	17.92
2346	3	1.00000	19.39
2347	3	1.00133	12.52
2348	3	1.00133	12.29
2349	3	1.00000	11.67
2350	3	1.00133	12.30
2351	3	1.00133	13.45
2352	3	1.00000	13.38
2353	3	1.00133	11.34
2354	3	1.00133	12.70
2355	3	1.00000	12.46
2356	3	1.00133	11.16
2357	3	1.00133	11.47
2358	3	1.00000	11.25
2359	3	1.00133	12.55
2360	3	1.00133	11.32
2361	3	1.00000	12.07
2362	3	1.00133	11.31
2363	3	1.00133	12.02
2364	3	1.00000	11.27
2365	3	1.00133	11.78
2366	3	1.00133	11.29
2367	3	1.00000	13.15
2368	3	1.00133	12.77
2369	3	1.00133	12.77
2370	3	1.00000	11.33
2371	3	1.00133	13.82
2372	3	1.00133	13.44
2373	3	1.00000	17.93
2374	3	1.00133	12.92
2375	3	1.00133	13.51
2376	3	1.00000	12.98
2377	3	1.00133	12.36
2378	3	1.00133	12.37
2379	3	1.00000	11.89
2380	3	1.00133	13.09
2381	3	1.00133	15.74
2382	3	1.00000	21.81
2383	3	1.00133	14.75
2384	3	1.00133	15.85
2385	3	1.00000	17.09
2386	3	1.00133	11.81
2387	3	1.00133	13.11
2388	3	1.00000	14.80
2389	3	1.00133	18.75
2390	3	1.00133	18.13
2391	3	1.00000	13.93
2392	3	1.00133	12.63
2393	3	1.00133	14.47
2394	3	1.00000	13.54
2395	3	1.00133	11.89
2396	3	1.00133	12.29
2397	3	1.00000	12.89
2398	3	1.00133	11.59
2399	3	1.00133	13.49
2400	3	1.00000	13.74
2401	3	1.00133	12.55
2402	3	1.00133	11.80
2403	3	1.00000	13.78
2404	3	1.00133	12.03
2405	3	1.00133	11.79
2406	3	1.00000	15.08
2407	3	1.00133	16.42
2408	3	1.00133	12.63
2409	3	1.00000	14.46
2410	3	1.00133	16.60
2411	3	1.00133	11.86
2412	3	1.00000	11.97
2413	3	1.00133	11.71
2414	3	1.00133	15.17
2415	3	1.00000	11.61
2416	3	1.00133	11.91
2417	3	1.00133	11.60
2418	3	1.00000	11.72
2419	3	1.00133	11.53
2420	3	1.00133	12.86
2421	3	1.00000	11.77
2422	3	1.00133	13.00
2423	3	1.00133	12.05
2424	3	1.00000	12.20
2425	3	1.00133	12.22
2426	3	1.00133	11.99
2427	3	1.00000	15.54
2428	3	1.00133	13.03
2429	3	1.00133	13.25
2430	3	1.00000	12.87
2431	3	1.00133	12.82
2432	3	1.00133	20.52
2433	3	1.00000	16.42
2434	3	1.00133	16.16
2435	3	1.00133	14.52
2436	3	1.00000	12.41
2437	3	1.00133	12.47
2438	3	1.00133	12.99
2439	3	1.00000	14.52
2440	3	1.00133	11.84
2441	3	1.00133	14.48
2442	3	1.00000	11.88
2443	3	1.00133	15.28
2444	3	1.00133	19.41
2445	3	1.00000	16.86
2446	3	1.00133	16.60
2447	3	1.00133	13.77
2448	3	1.00000	13.03
2449	3	1.00133	13.50
2450	3	1.00133	12.31
2451	3	1.00000	12.13
2452	3	1.00133	13.11
2453	3	1.00133	13.09
2454	3	1.00000	13.54
2455	3	1.00133	20.40
2456	3	1.00133	23.59
2457	3	1.00000	16.05
2458	3	1.00133	15.84
2459	3	1.00133	16.85
2460	3	1.00000	17.44
2461	3	1.00133	18.16
2462	3	1.00133	13.55
2463	3	1.00000	15.50
2464	3	1.00133	19.97
2465	3	1.00133	19.62
2466	3	1.00000	13.28
2467	3	1.00133	13.44
2468	3	1.00133	15.92
2469	3	1.00000	18.81
2470	3	1.00133	19.08
2471	3	1.00133	15.93
2472	3	1.00000	12.91
2473	3	1.00133	12.09
2474	3	1.00133	15.01
2475	3	1.00000	12.61
2476	3	1.00133	17.58
2477	3	1.00133	14.75
2478	3	1.00000	13.59
2479	3	1.00133	13.22
2480	3	1.00133	12.58
2481	3	1.00000	12.39
2482	3	1.00133	12.07
2483	3	1.00133	12.40
2484	3	1.00000	13.07
2485	3	1.00133	12.70
2486	3	1.00133	15.37
2487	3	1.00000	16.66
2488	3	1.00133	17.96
2489	3	1.00133	18.41
2490	3	1.00000	18.59
2491	3	1.00133	13.19
2492	3	1.00133	14.42
2493	3	1.00000	12.60
2494	3	1.00133	12.18
2495	3	1.00133	14.17
2496	3	1.00000	15.41
2497	3	1.00133	12.94
2498	3	1.00133	12.37
2499	3	1.00000	13.82
2500	3	1.00133	18.89
2501	3	1.00133	16.71
2502	3	1.00000	13.91
2503	3	1.00133	13.01
2504	3	1.00133	13.36
2505	3	1.00000	15.46
2506	3	1.00133	20.50
2507	3	1.00133	21.61
2508	3	1.00000	12.80
2509	3	1.00133	15.81
2510	3	1.00133	13.55
2511	3	1.00000	14.81
2512	3	1.00133	12.59
2513	3	1.00133	14.28
2514	3	1.00000	14.70
2515	3	1.00133	15.08
2516	3	1.00133	13.31
2517	3	1.00000	13.24
2518	3	1.00133	13.94
2519	3	1.00133	19.47
2520	3	1.00000	13.55
2521	3	1.00133	14.51
2522	3	1.00133	14.49
2523	3	1.00000	13.35
2524	3	1.00133	12.52
2525	3	1.00133	14.14
2526	3	1.00000	14.43
2527	3	1.00133	13.82
2528	3	1.00133	13.04
2529	3	1.00000	14.54
2530	3	1.00133	13.73
2531	3	1.00133	15.19
2532	3	1.00000	18.02
2533	3	1.00133	18.50
2534	3	1.00133	17.50
2535	3	1.00000	13.12
2536	3	1.00133	15.57
2537	3	1.00133	13.81
2538	3	1.00000	15.17
2539	3	1.00133	17.50
2540	3	1.00133	19.52
2541	3	1.00000	17.95
2542	3	1.00133	13.18
2543	3	1.00133	13.25
2544	3	1.00000	16.38
2545	3	1.00133	17.16
2546	3	1.00133	18.20
2547	3	1.00000	17.32
2548	3	1.00133	16.10
2549	3	1.00133	12.94
2550	3	1.00000	13.02
2551	3	1.00133	12.75
2552	3	1.00133	14.23
2553	3	1.00000	13.45
2554	3	1.00133	12.38
2555	3	1.00133	12.94
2556	3	1.00000	15.44
2557	3	1.00133	17.12
2558	3	1.00133	18.30
2559	3	1.00000	16.81
2560	3	1.00133	18.33
2561	3	1.00133	15.39
2562	3	1.00000	13.52
2563	3	1.00133	13.05
2564	3	1.00133	15.26
2565	3	1.00000	13.87
2566	3	1.00133	12.58
2567	3	1.00133	14.67
2568	3	1.00000	14.67
2569	3	1.00133	12.58
2570	3	1.00133	13.06
2571	3	1.00000	15.01
2572	3	1.00133	15.73
2573	3	1.00133	13.09
2574	3	1.00000	13.07
2575	3	1.00133	14.05
2576	3	1.00133	12.48
2577	3	1.00000	13.53
2578	3	1.00133	14.97
2579	3	1.00133	12.43
2580	3	1.00000	12.63
2581	3	1.00133	12.80
2582	3	1.00133	12.55
2583	3	1.00000	15.85
2584	3	1.00133	18.30
2585	3	1.00133	15.11
2586	3	1.00000	13.83
2587	3	1.00133	16.59
2588	3	1.00133	20.34
2589	3	1.00000	18.22
2590	3	1.00133	14.17
2591	3	1.00133	14.47
2592	3	1.00000	15.97
2593	3	1.00133	13.34
2594	3	1.00133	15.56
2595	3	1.00000	16.34
2596	3	1.00133	15.55
2597	3	1.00133	15.54
2598	3	1.00000	18.37
2599	3	1.00133	18.23
2600	3	1.00133	17.67
2601	3	1.00000	18.34
2602	3	1.00133	15.78
2603	3	1.00133	16.76
2604	3	1.00000	14.68
2605	3	1.00133	14.49
2606	3	1.00133	13.10
2607	3	1.00000	15.09
2608	3	1.00133	12.84
2609	3	1.00133	15.30
2610	3	1.00000	16.91
2611	3	1.00133	20.37
2612	3	1.00133	17.23
2613	3	1.00000	15.03
2614	3	1.00133	14.05
2615	3	1.00133	14.23
2616	3	1.00000	17.40
2617	3	1.00133	21.15
2618	3	1.00133	18.79
2619	3	1.00000	14.63
2620	3	1.00133	14.26
2621	3	1.00133	15.64
2622	3	1.00000	18.83
2623	3	1.00133	18.34
2624	3	1.00133	17.61
2625	3	1.00000	14.09
2626	3	1.00133	13.12
2627	3	1.00133	13.99
2628	3	1.00000	15.47
2629	3	1.00133	12.97
2630	3	1.00133	13.93
2631	3	1.00000	13.34
2632	3	1.00133	13.96
2633	3	1.00133	16.63
2634	3	1.00000	14.74
2635	3	1.00133	17.56
2636	3	1.00133	14.20
2637	3	1.00000	14.31
2638	3	1.00133	13.66
2639	3	1.00133	12.75
2640	3	1.00000	14.12
2641	3	1.00133	14.06
2642	3	1.00133	13.51
2643	3	1.00000	15.24
2644	3	1.00133	12.86
2645	3	1.00133	13.09
2646	3	1.00000	14.77
2647	3	1.00133	15.39
2648	3	1.00133	15.36
2649	3	1.00000	13.15
2650	3	1.00133	15.44
2651	3	1.00133	14.14
2652	3	1.00000	14.48
2653	3	1.00133	18.73
2654	3	1.00133	15.91
2655	3	1.00000	14.88
2656	3	1.00133	13.71
2657	3	1.00133	14.92
2658	3	1.00000	14.53
2659	3	1.00133	13.71
2660	3	1.00133	14.30
2661	3	1.00000	13.14
2662	3	1.00133	13.65
2663	3	1.00133	13.86
2664	3	1.00000	14.39
2665	3	1.00133	13.09
2666	3	1.00133	12.80
2667	3	1.00000	14.27
2668	3	1.00133	13.21
2669	3	1.00133	13.24
2670	3	1.00000	13.35
2671	3	1.00133	13.16
2672	3	1.00133	12.92
2673	3	1.00000	13.99
2674	3	1.00133	14.48
2675	3	1.00133	12.89
2676	3	1.00000	12.88
2677	3	1.00133	13.28
2678	3	1.00133	12.88
2679	3	1.00000	13.05
2680	3	1.00133	13.03
2681	3	1.00133	13.08
2682	3	1.00000	13.04
2683	3	1.00133	13.45
2684	3	1.00133	21.70
2685	3	1.00000	14.38
2686	3	1.00133	12.94
2687	3	1.00133	18.93
2688	3	1.00000	16.92
2689	3	1.00133	13.15
2690	3	1.00133	18.65
2691	3	1.00000	16.92
2692	3	1.00133	15.42
2693	3	1.00133	20.81
2694	3	1.00000	14.96
2695	3	1.00133	17.25
2696	3	1.00133	26.09
2697	3	1.00000	20.35
2698	3	1.00133	23.49
2699	3	1.00133	15.19
2700	3	1.00000	14.03
2701	3	1.00133	23.11
2702	3	1.00133	15.36
2703	3	1.00000	18.00
2704	3	1.00133	21.67
2705	3	1.00133	28.51
2706	3	1.00000	23.13
2707	3	1.00133	16.37
2708	3	1.00133	26.34
2709	3	1.00000	22.42
2710	3	1.00133	17.65
2711	3	1.00133	13.43
2712	3	1.00000	13.60
2713	3	1.00133	14.78
2714	3	1.00133	13.60
2715	3	1.00000	13.85
2716	3	1.00133	13.18
2717	3	1.00133	14.99
2718	3	1.00000	13.88
2719	3	1.00133	13.98
2720	3	1.00133	13.79
2721	3	1.00000	13.32
2722	3	1.00133	13.21
2723	3	1.00133	13.05
2724	3	1.00000	14.59
2725	3	1.00133	13.23
2726	3	1.00133	13.09
2727	3	1.00000	16.19
2728	3	1.00133	13.13
2729	3	1.00133	15.49
2730	3	1.00000	13.83
2731	3	1.00133	14.36
2732	3	1.00133	13.32
2733	3	1.00000	15.15
2734	3	1.00133	19.51
2735	3	1.00133	20.08
2736	3	1.00000	13.88
2737	3	1.00133	14.90
2738	3	1.00133	16.21
2739	3	1.00000	13.57
2740	3	1.00133	14.65
2741	3	1.00133	14.18
2742	3	1.00000	15.58
2743	3	1.00133	19.49
2744	3	1.00133	18.86
2745	3	1.00000	15.17
2746	3	1.00133	16.16
2747	3	1.00133	14.64
2748	3	1.00000	16.55
2749	3	1.00133	14.97
2750	3	1.00133	16.55
2751	3	1.00000	14.21
2752	3	1.00133	16.94
2753	3	1.00133	15.83
2754	3	1.00000	16.76
2755	3	1.00133	16.80
2756	3	1.00133	16.20
2757	3	1.00000	19.26
2758	3	1.00133	19.03
2759	3	1.00133	17.59
2760	3	1.00000	17.70
2761	3	1.00133	23.83
2762	3	1.00133	15.35
2763	3	1.00000	15.49
2764	3	1.00133	16.76
2765	3	1.00133	13.42
2766	3	1.00000	13.56
2767	3	1.00133	14.14
2768	3	1.00133	13.65
2769	3	1.00000	13.51
2770	3	1.00133	15.18
2771	3	1.00133	14.40
2772	3	1.00000	14.52
2773	3	1.00133	14.24
2774	3	1.00133	13.47
2775	3	1.00000	14.74
2776	3	1.00133	13.63
2777	3	1.00133	13.71
2778	3	1.00000	16.47
2779	3	1.00133	13.81
2780	3	1.00133	15.27
2781	3	1.00000	14.03
2782	3	1.00133	13.53
2783	3	1.00133	18.77
2784	3	1.00000	17.17
2785	3	1.00133	13.89
2786	3	1.00133	16.76
2787	3	1.00000	14.32
2788	3	1.00133	18.00
2789	3	1.00133	14.38
2790	3	1.00000	13.69
2791	3	1.00133	13.41
2792	3	1.00133	15.88
2793	3	1.00000	14.49
2794	3	1.00133	14.44
2795	3	1.00133	13.98
2796	3	1.00000	14.35
2797	3	1.00133	14.84
2798	3	1.00133	16.18
2799	3	1.00000	20.89
2800	3	1.00133	18.96
2801	3	1.00133	18.75
2802	3	1.00000	16.71
2803	3	1.00133	15.20
2804	3	1.00133	14.31
2805	3	1.00000	14.94
2806	3	1.00133	15.95
2807	3	1.00133	16.45
2808	3	1.00000	13.56
2809	3	1.00133	14.50
2810	3	1.00133	21.76
2811	3	1.00000	18.73
2812	3	1.00133	18.30
2813	3	1.00133	20.28
2814	3	1.00000	20.38
2815	3	1.00133	16.89
2816	3	1.00133	16.16
2817	3	1.00000	16.03
2818	3	1.00133	15.85
2819	3	1.00133	14.77
2820	3	1.00000	15.50
2821	3	1.00133	17.85
2822	3	1.00133	20.66
2823	3	1.00000	28.82
2824	3	1.00133	17.00
2825	3	1.00133	14.32
2826	3	1.00000	15.55
2827	3	1.00133	18.53
2828	3	1.00133	22.09
2829	3	1.00000	17.85
2830	3	1.00133	15.39
2831	3	1.00133	14.03
2832	3	1.00000	14.87
2833	3	1.00133	20.48
2834	3	1.00133	19.47
2835	3	1.00000	14.72
2836	3	1.00133	17.77
2837	3	1.00133	20.48
2838	3	1.00000	22.78
2839	3	1.00133	21.59
2840	3	1.00133	19.04
2841	3	1.00000	17.85
2842	3	1.00133	16.04
2843	3	1.00133	15.19
2844	3	1.00000	18.38
2845	3	1.00133	14.37
2846	3	1.00133	14.05
2847	3	1.00000	15.00
2848	3	1.00133	17.66
2849	3	1.00133	14.50
2850	3	1.00000	14.20
2851	3	1.00133	15.53
2852	3	1.00133	14.08
2853	3	1.00000	18.33
2854	3	1.00133	15.81
2855	3	1.00133	14.89
2856	3	1.00000	14.24
2857	3	1.00133	17.07
2858	3	1.00133	15.43
2859	3	1.00000	16.31
2860	3	1.00133	14.64
2861	3	1.00133	14.30
2862	3	1.00000	13.90
2863	3	1.00133	14.96
2864	3	1.00133	15.74
2865	3	1.00000	14.84
2866	3	1.00133	14.83
2867	3	1.00133	16.15
2868	3	1.00000	16.38
2869	3	1.00133	16.54
2870	3	1.00133	14.09
2871	3	1.00000	17.16
2872	3	1.00133	14.67
2873	3	1.00133	14.36
2874	3	1.00000	20.84
2875	3	1.00133	20.94
2876	3	1.00133	19.96
2877	3	1.00000	15.56
2878	3	1.00133	16.20
2879	3	1.00133	15.37
2880	3	1.00000	14.71
2881	3	1.00133	14.77
2882	3	1.00133	15.34
2883	3	1.00000	15.49
2884	3	1.00133	14.11
2885	3	1.00133	14.20
2886	3	1.00000	17.76
2887	3	1.00133	18.21
2888	3	1.00133	24.86
2889	3	1.00000	20.32
2890	3	1.00133	16.82
2891	3	1.00133	14.57
2892	3	1.00000	15.13
2893	3	1.00133	14.10
2894	3	1.00133	15.03
2895	3	1.00000	13.98
2896	3	1.00133	19.00
2897	3	1.00133	24.78
2898	3	1.00000	22.27
2899	3	1.00133	20.52
2900	3	1.00133	16.40
2901	3	1.00000	14.90
2902	3	1.00133	14.52
2903	3	1.00133	15.31
2904	3	1.00000	18.91
2905	3	1.00133	15.25
2906	3	1.00133	19.87
2907	3	1.00000	21.19
2908	3	1.00133	21.10
2909	3	1.00133	16.02
2910	3	1.00000	15.29
2911	3	1.00133	15.09
2912	3	1.00133	14.11
2913	3	1.00000	15.11
2914	3	1.00133	15.70
2915	3	1.00133	14.91
2916	3	1.00000	14.23
2917	3	1.00133	17.65
2918	3	1.00133	14.95
2919	3	1.00000	15.09
2920	3	1.00133	15.62
2921	3	1.00133	14.53
2922	3	1.00000	14.49
2923	3	1.00133	15.03
2924	3	1.00133	15.15
2925	3	1.00000	16.08
2926	3	1.00133	16.03
2927	3	1.00133	14.14
2928	3	1.00000	14.91
2929	3	1.00133	15.14
2930	3	1.00133	14.29
2931	3	1.00000	17.97
2932	3	1.00133	19.74
2933	3	1.00133	16.14
2934	3	1.00000	15.84
2935	3	1.00133	17.66
2936	3	1.00133	15.59
2937	3	1.00000	14.79
2938	3	1.00133	15.42
2939	3	1.00133	15.92
2940	3	1.00000	18.31
2941	3	1.00133	21.47
2942	3	1.00133	17.46
2943	3	1.00000	17.18
2944	3	1.00133	17.41
2945	3	1.00133	15.13
2946	3	1.00000	14.89
2947	3	1.00133	14.42
2948	3	1.00133	15.24
2949	3	1.00000	14.19
2950	3	1.00133	14.24
2951	3	1.00133	17.80
2952	3	1.00000	20.70
2953	3	1.00133	20.65
2954	3	1.00133	20.60
2955	3	1.00000	16.82
2956	3	1.00133	16.45
2957	3	1.00133	22.62
2958	3	1.00000	22.15
2959	3	1.00133	15.09
2960	3	1.00133	16.39
2961	3	1.00000	20.11
2962	3	1.00133	22.54
2963	3	1.00133	22.19
2964	3	1.00000	15.69
2965	3	1.00133	15.90
2966	3	1.00133	17.12
2967	3	1.00000	15.54
2968	3	1.00133	15.09
2969	3	1.00133	16.21
2970	3	1.00000	15.48
2971	3	1.00133	15.82
2972	3	1.00133	21.40
2973	3	1.00000	21.60
2974	3	1.00133	17.51
2975	3	1.00133	16.92
2976	3	1.00000	15.51
2977	3	1.00133	15.49
2978	3	1.00133	17.55
2979	3	1.00000	15.58
2980	3	1.00133	14.54
2981	3	1.00133	18.15
2982	3	1.00000	23.44
2983	3	1.00133	20.51
2984	3	1.00133	16.64
2985	3	1.00000	21.48
2986	3	1.00133	22.49
2987	3	1.00133	16.75
2988	3	1.00000	16.47
2989	3	1.00133	17.24
2990	3	1.00133	14.71
2991	3	1.00000	16.59
2992	3	1.00133	17.99
2993	3	1.00133	15.71
2994	3	1.00000	14.61
2995	3	1.00133	14.36
2996	3	1.00133	19.29
2997	3	1.00000	22.86
2998	3	1.00133	17.16
2999	3	1.00133	15.23
3000	3	1.00000	15.74
3001	3	1.00133	15.78
3002	3	1.00133	16.07
